University Name,World Rank,Teaching Score,International Score,Research Score,Citations Score,Income Score,Total Score
Hebrew University of Jerusalem,178,45.8,55.6,41.4,64.6,31.9,50.5
University of Waterloo,179,35.4,74.4,43.9,66.5,39.5,50.3
University of Gothenburg,180,28.5,58.3,39.8,81.8,30.3,50.2
"Scuola Superiore Sants, Eanna",180,42.5,45.2,23.2,84.5,71.2,50.2
University of Bergen,182,32.5,70,31.5,82.4,36.2,50.1
Cardiff University,182,30.9,78.1,31.6,82,34.6,50.1
University of Utah,182,35.6,30.1,35.3,83.7,57.4,50.1
Brandeis University,185,28.3,47,25.7,97.3,38.6,49.9
University of Dundee,185,25.6,78.5,26.9,90.2,49.5,49.9
University of Warzburg,185,34.6,50.9,35.8,79.1,47.9,49.9
Paris-Sud University,188,38.7,64.2,29,79.8,28.8,49.8
Arizona State University,189,32.4,31.9,38.1,84.6,32,49.7
University of Antwerp,190,31.6,64.8,40.8,71.7,60.3,49.6
Boston College,190,34.1,60,29.3,83.3,46.8,49.6
Ulm University,192,35.2,58.2,23.9,86.4,58.4,49.5
University of Luxembourg,193,25,99.8,26.7,84.8,38.1,49.4
Texas A&M University,193,49.4,47.8,52.4,47.1,46.4,49.4
Charite - Universitetsmedizin Berlin,195,37.3,61.1,22.2,83.8,68.4,49.3
Newcastle University,196,30.9,84.3,27.5,81.5,34.7,49.2
"St Georges, University of London",196,25.6,69.5,18.1,100,37.7,49.2
University of Trento,198,30.8,55.9,27.4,87.7,47.1,49.1
"Paris Diderot University, Paris 7",199,30.5,64.9,22.9,91,29,48.9
Queens University Belfast,200,34.1,93.4,33.3,68.9,35.7,48.8
